品牌,型号,价格（元）,cpu型号,ram容量（gb）,rom容量（gb）,有线充电速度（w）,电池容量(mAh),屏幕刷新率(hz),屏幕分辨率(p),重量(g),前置（万像素）,后置（万像素）,屏幕尺寸（英寸）
苹果,苹果iPhone 15（128GB）,5999,a16,6,128,27,3279,60,1k,171,1200,4800,6.1
苹果,苹果iPhone 15（256GB）,6999,a16,6,256,27,3279,60,1k,171,1200,4800,6.1
苹果,苹果iPhone 15（256GB）,8999,a16,6,512,27,3279,60,1k,171,1200,4800,6.1
苹果,苹果iPhone 15 Pro（128GB）,7999,a17 Pro,8,128,27,3650,120,1k,187,1200,4800,6.1
苹果,苹果iPhone 15 Pro（256GB）,8999,a17 Pro,8,256,27,3650,120,1k,187,1200,4800,6.1
苹果,苹果iPhone 15 Pro（512GB）,10999,a17 Pro,8,256,27,3650,120,1k,187,1200,4800,6.1
苹果,苹果iPhone 15 Pro（1024GB）,12999,a17 Pro,8,1024,27,3650,120,1k,187,1200,4800,6.1
苹果,苹果iPhone 15 Pro Max（256GB）,9999,a17 Pro,8,256,27,4852,120,1k,221,1200,4800,6.7
苹果,苹果iPhone 15 Pro Max（512GB）,11999,a17 Pro,8,512,27,4852,120,1k,221,1200,4800,6.7
苹果,苹果iPhone 15 Pro Max（1024GB）,13999,a17 Pro,8,1024,27,4852,120,1k,221,1200,4800,6.7
苹果,苹果iPhone 15 Plus（128GB）,6999,a16,6,128,27,3279,60,1k,171,1200,4800,6.7
苹果,苹果iPhone 15 Plus（256GB）,7999,a16,6,256,27,3279,60,1k,171,1200,4800,6.7
苹果,苹果iPhone 15 Plus（512GB）,9999,a16,6,512,27,3279,60,1k,171,1200,4800,6.7
苹果,苹果iPhone 14 Plus（128GB）,5839,a15,6,128,27,4325,60,1k,203,1200,1200,6.7
苹果,苹果iPhone 14 Plus（256GB）,6629,a15,6,256,27,4325,60,1k,203,1200,1200,6.7
苹果,苹果iPhone 14 Plus（512GB）,8149,a15,6,512,27,4325,60,1k,203,1200,1200,6.7
苹果,苹果iPhone 14（128GB）,4999,a15,6,128,27,3279,60,1k,203,1200,1200,6.1
苹果,苹果iPhone 14（256GB）,5899,a15,6,128,27,3279,60,1k,203,1200,1200,6.1
苹果,苹果iPhone 14（512GB）,7445,a15,6,128,27,3279,60,1k,203,1200,1200,6.1
苹果,苹果iPhone 14 Pro（128GB）,7099,a16,6,128,27,3200,120,1k,206,1200,4800,6.1
苹果,苹果iPhone 14 Pro（256GB）,7899,a16,6,256,27,3200,120,1k,206,1200,4800,6.1
苹果,苹果iPhone 14 Pro（512GB）,9299,a16,6,256,27,3200,120,1k,206,1200,4800,6.1
苹果,苹果iPhone 14 Pro（1TB）,10199,a16,6,1024,27,3200,120,1k,206,1200,4800,6.1
苹果,苹果iPhone 14 Pro Max（128GB）,8199,a16,6,128,27,4323,120,1k,240,1200,4800,6.7
苹果,苹果iPhone 14 Pro Max（256GB）,8899,a16,6,256,27,4323,120,1k,240,1200,4800,6.7
苹果,苹果iPhone 14 Pro Max（512GB）,10699,a16,6,256,27,4323,120,1k,240,1200,4800,6.7
苹果,苹果iPhone 14 Pro Max（1TB）,12099,a16,6,1024,27,4323,120,1k,240,1200,4800,6.7
三星,三星Galaxy S23 Ultra（8GB/256GB),7667,高通 骁龙8 Gen2 for Galaxy （4nm）,8,256,45,5000,120,2,233,1200,20000,6.8
